Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	en-zh	Alibaba-General-System.5743	0.165	0.4319	43.2	47.3	69.4	41.9	61.0	0.37	47.3	69.4	0.38	
2018	en-zh	online-A.0	0.037	0.3060	30.6	44.4	61.1	38.5	54.0	0.27	44.8	61.5	0.28	
2018	fi-en	talp-upc.5423	0.047	0.2213	20.8	28.9	48.8	24.4	44.5	0.49	29.5	49.3	0.48	
2018	fi-en	uedin.5631	0.103	0.2539	23.5	32.6	51.8	27.5	47.1	0.51	33.3	51.7	0.51	
2018	en-zh	online-G.0	-0.435	0.2095	20.9	38.4	57.1	34.0	51.9	0.21	38.9	58.9	0.21	
2018	en-zh	online-F.0	-0.419	0.1811	18.1	33.5	53.4	30.1	50.6	0.18	34.2	54.3	0.19	
2018	en-zh	uedin.5735	-0.202	0.3331	33.4	34.3	61.5	33.6	57.6	0.30	33.3	60.4	0.29	
2018	ru-en	Alibaba.5720	0.215	0.3632	34.9	39.2	61.2	32.6	52.0	0.61	40.4	62.2	0.61	
2018	ru-en	afrl-ruen-syscomb.5440	-0.014	0.3107	30.0	35.1	57.4	29.2	49.6	0.58	36.0	58.4	0.57	
2018	en-zh	Unisound.5669	0.206	0.4270	42.6	46.0	69.4	40.9	60.3	0.37	46.2	69.5	0.37	
2018	tr-en	Alibaba-MT-tr-en-Ensemble.5745			28.0	33.4	55.7	27.9	48.4	0.56	34.4	56.4	0.55	
2018	ru-en	online-B.0	0.192	0.3350	31.8	38.0	59.4	31.2	50.4	0.59	39.1	60.8	0.60	
2018	ru-en	uedin.5739	0.11	0.3416	32.8	35.9	59.1	29.9	50.5	0.59	36.9	59.7	0.59	
2018	en-zh	Tencent-ensemble-system.5760	0.219	0.4316	43.1	49.2	69.8	43.2	60.7	0.38	49.5	69.9	0.38	
2018	ru-en	online-G.0	0.17	0.3462	31.1	37.2	58.5	30.5	49.9	0.59	38.3	59.9	0.59	
2018	en-zh	online-Y.0	0.069	0.3396	33.9	43.6	64.2	38.3	56.4	0.30	44.0	64.2	0.30	
2018	ru-en	JHU.5675	-0.027	0.2917	26.7	30.9	54.5	25.6	46.8	0.55	32.1	56.3	0.55	
2018	tr-en	online-A.0	0.04	0.2718	24.8	35.1	55.1	28.6	47.8	0.55	36.0	55.7	0.54	
2018	ru-en	online-A.0	0.034	0.3073	29.0	33.9	56.7	27.9	48.7	0.57	34.9	57.6	0.57	
2018	tr-en	online-B.0	-0.004	0.2620	24.8	35.0	55.1	28.7	48.2	0.55	35.9	55.4	0.54	
2018	tr-en	NICT.5708	-0.055	0.2856	26.7	32.0	54.6	26.7	47.4	0.54	33.0	55.4	0.54	
2018	en-zh	UMD.5680	0.094	0.3906	39.0	46.0	67.7	40.5	58.3	0.35	46.5	68.9	0.36	
2018	tr-en	online-G.0	0.045	0.2738	24.4	32.5	54.1	27.0	47.6	0.55	33.3	54.3	0.53	
2018	ru-en	online-F.0	-0.398	0.1496	13.6	22.1	43.7	17.7	39.1	0.46	23.3	46.0	0.48	
2018	tr-en	uedin.5709	-0.053	0.2868	26.9	32.7	55.3	27.2	47.6	0.55	33.7	56.3	0.55	
2018	zh-en	NICT.5539	0.089	0.2867	26.7	30.5	53.5	26.6	48.7	0.56	31.2	54.0	0.54	
2018	zh-en	Li-Muze.5736	0.091	0.2945	27.4	32.5	54.9	28.0	49.6	0.57	33.1	54.8	0.56	
2018	zh-en	NiuTrans.5740	0.14	0.3077	28.7	32.5	55.2	28.0	49.8	0.57	33.2	55.9	0.56	
