camp	lang	syst	human	bleu	bleu_lc	bleu_eff_order	bleu_eff_order_lc	macro_1gF1	macro_1gF1_lc	micro_1gF1	micro_1gF1_lc	macro_1gF_2gP	micro_1gF_2gP	macro_1gF_3gP	micro_1gF_3gP	macro_1gF_4gP	macro_1gF_4gP_lc	micro_1gF_4gP	micro_1gF_4gP_lc	macro_1gF_5gP	micro_1gF_5gP
wmt19	en-lt	TartuNLP-c.6510	-0.383	12.329	12.731	12.329	12.731	14.502	14.87	31.896	32.977	12.828	28.708	12.001	27.48	11.467	11.77	26.696	27.6	11.096	26.151
wmt19	en-lt	online-A.0	-0.62	9.048	9.45	9.048	9.45	13.588	14.193	29.738	30.971	11.791	26.766	10.967	25.669	10.484	10.949	25.077	26.191	10.165	24.695
wmt19	en-lt	online-X.0	-0.666	9.618	11.392	9.618	11.392	12.75	15.509	28.836	32.44	11.352	25.85	10.647	24.664	10.202	12.201	23.964	26.686	9.904	23.492
wmt19	en-lt	online-G.0	-0.805	8.418	9.168	8.418	9.168	12.616	13.726	28.69	30.5	11.003	25.644	10.262	24.485	9.822	10.658	23.832	25.209	9.536	23.398
wmt19	de-cs	online-Y.0	0.426	21.015	21.48	21.015	21.48	24.521	25.293	43.599	44.968	22.364	40.385	21.062	39.041	20.133	20.769	38.081	39.168	19.451	37.361
wmt19	de-cs	online-B.0	0.386	19.54	19.957	19.54	19.957	23.226	23.99	41.997	43.35	21.263	39.247	20.059	38.073	19.211	19.843	37.25	38.373	18.582	36.627
wmt19	de-cs	NICT.6938	0.367	20.049	20.485	20.049	20.485	22.684	23.292	42.103	43.381	20.82	39.15	19.632	37.817	18.792	19.329	36.875	37.974	18.163	36.166
wmt19	de-cs	online-G.0	0.319	17.865	18.851	17.865	18.851	21.756	23.223	40.657	42.577	19.897	37.974	18.746	36.808	17.939	19.142	36.008	37.521	17.349	35.412
wmt19	de-cs	NEU_KingSoft.6766	0.179	18.859	19.223	18.859	19.223	20.934	21.512	40.607	41.877	19.063	37.587	17.974	36.367	17.223	17.7	35.538	36.603	16.666	34.908
wmt19	de-cs	online-A.0	0.134	16.44	17.055	16.44	17.055	19.853	20.708	38.824	40.335	18.061	36.115	17.047	35.06	16.354	17.066	34.358	35.585	15.865	33.852
wmt19	de-cs	lmu-unsup-nmt-de-cs.6845	-0.099	17.03	17.414	17.03	17.414	18.526	19.124	38.147	39.482	16.919	35.479	15.981	34.515	15.334	15.875	33.866	35.119	14.866	33.38
