Lang	Dataset	Model	BPEsize	TrainSize	MAP	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF1	MacroF1	MicroF1	BLEURTMean	BLEURTMedian
de	wiki	bm25	32000	100000	0.7174	0.248	0.158	0.0825	0.8252	0.373766436	0.7613	26.33	0.545	25.99	52.38	0.05487	0.090689
de	wiki	bm25	32000	125000	0.7417	0.2946	0.1618	0.0845	0.8448	0.390407859	0.7831	27.57	0.557	27.59	53.68	0.086427	0.128155
de	wiki	bm25	32000	150000	0.7471	0.3007	0.1623	0.0849	0.8488	0.392279883	0.7876	27.79	0.559	28	53.85	0.092212	0.133802
de	wiki	bm25	32000	175000	0.7585	0.3157	0.1644	0.0854	0.8541	0.396965503	0.797	28.68	0.566	29.01	54.63	0.118354	0.156946
de	wiki	bm25	32000	200000	0.7717	0.3437	0.1668	0.0864	0.8639	0.407929055	0.8087	29.63	0.575	30.44	55.65	0.13388	0.175665
de	wiki	neural	16000	25000	0.068	8.00E-04	0.0184	0.0132	0.1322	0.08021724	0.1459	18.35	0.461	14.81	43.31	-0.207589	-0.178182
de	wiki	neural	16000	50000	0.0914	0.0015	0.0262	0.0182	0.182	0.10309039	0.1793	23	0.514	21.24	48.88	-0.04658	-0.01193
de	wiki	neural	16000	75000	0.1006	0.0021	0.0279	0.0196	0.196	0.113296963	0.1927	24.79	0.53	23.76	50.83	0.003726	0.037691
de	wiki	neural	16000	100000	0.105	0.0024	0.0293	0.0205	0.2046	0.119333608	0.1991	26.66	0.546	25.85	52.53	0.051681	0.091223
de	wiki	neural	16000	125000	0.094	0.0023	0.027	0.019	0.1896	0.114781215	0.1902	26.55	0.545	25.94	52.45	0.049102	0.088817
de	wiki	neural	16000	150000	0.1056	0.0027	0.0289	0.0202	0.2022	0.120583499	0.2027	27.25	0.553	26.99	53.3	0.072901	0.115527
de	wiki	neural	16000	175000	0.1066	0.0029	0.0302	0.0213	0.213	0.124609581	0.2044	28.31	0.563	28.61	54.39	0.099119	0.139494
de	wiki	neural	16000	200000	0.1084	0.0031	0.0299	0.0213	0.2128	0.120807126	0.2074	28.81	0.567	28.99	54.81	0.114099	0.156931
de	wiki	neural	32000	25000	0.0378	2.00E-04	0.0104	0.0074	0.0744	0.056079759	0.0933	17.27	0.438	12.74	41.48	-0.277298	-0.253876
de	wiki	neural	32000	50000	0.0616	8.00E-04	0.0172	0.0125	0.1246	0.082014642	0.1404	22.21	0.502	19.96	48	-0.071666	-0.044827
de	wiki	neural	32000	75000	0.0898	0.0014	0.0248	0.0174	0.174	0.102513233	0.1755	25.1	0.532	23.96	51.2	0.021958	0.059449
de	wiki	neural	32000	100000	0.0957	0.0017	0.0265	0.0182	0.1822	0.107963877	0.184	26.33	0.545	25.99	52.38	0.05487	0.090689
de	wiki	neural	32000	125000	0.098	0.002	0.027	0.019	0.1902	0.110684435	0.1904	27.57	0.557	27.59	53.68	0.086427	0.128155
de	wiki	neural	32000	150000	0.0948	0.0021	0.0264	0.0185	0.1848	0.115407009	0.1887	27.79	0.559	28	53.85	0.092212	0.133802
de	wiki	neural	32000	175000	0.1049	0.0023	0.0287	0.02	0.1998	0.117848052	0.1986	28.68	0.566	29.01	54.63	0.118354	0.156946
de	wiki	neural	32000	200000	0.1071	0.0026	0.0297	0.0206	0.2064	0.122634106	0.2023	29.63	0.575	30.44	55.65	0.13388	0.175665
